강좌번호,학점,교과목명,구분,시간,개설대학,담당교수,성향,강의시간,시간벡터
CLTR0001-001,3.0,국어와 매체언어,교양,"화 1A,1B,2A
목 2B,3A,3B",인문대학,황지윤,"1,3,1,3,1,3,0,3,3,0,2,1,3,3,0,1","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
CLTR0044-001,3.0,철학의이해,교양,"월 8B,9A,9B
수 7A,7B,8A",인문대학,홍우람,"1,2,1,0,3,1,2,2,3,0,1,2,2,0,2,3","월 16.5, 17.0, 17.5
수 15.0, 15.5, 16.0","['월 16.5', '월 17.0', '월 17.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0053-001,3.0,한국의문학과영화,교양,"수 1A,1B,2A
금 2B,3A,3B",인문대학,김동현,"3,0,3,1,0,3,3,3,3,0,1,0,2,2,2,0","수 9.0, 9.5, 10.0
금 10.5, 11.0, 11.5","['수 9.0', '수 9.5', '수 10.0', '금 10.5', '금 11.0', '금 11.5']"
CLTR0205-001,3.0,대학글쓰기,교양,"수 1A,1B,2A
금 2B,3A,3B",인문대학,유신지,"1,3,2,0,0,0,3,0,0,2,2,2,2,2,3,3","수 9.0, 9.5, 10.0
금 10.5, 11.0, 11.5","['수 9.0', '수 9.5', '수 10.0', '금 10.5', '금 11.0', '금 11.5']"
CLTR0210-001,3.0,명저읽기와 토론,교양,"화 7A,7B,8A
목 7A,7B,8A",인문대학,정우락,"1,3,0,0,3,0,3,0,0,1,3,2,1,0,1,0","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
CLTR0462-001,3.0,팔공산과 대구 문화의 이해,교양,"월 5B,6A,6B
금 5B,6A,6B",인문대학,황명환,"1,1,2,3,0,3,0,3,0,1,1,3,1,2,0,2","월 13.5, 14.0, 14.5
금 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '금 13.5', '금 14.0', '금 14.5']"
CLTR0527-001,3.0,한국문학과 사회,교양,"월 1A,1B,2A
수 2B,3A,3B",인문대학,김주현,"0,0,3,2,2,0,0,1,0,1,2,0,1,1,2,2","월 9.0, 9.5, 10.0
수 10.5, 11.0, 11.5","['월 9.0', '월 9.5', '월 10.0', '수 10.5', '수 11.0', '수 11.5']"
TCHR0465-001,3.0,국어 논리 및 논술지도,교직,"화 7A,7B,8A
화 8B,9A,9B",인문대학,김덕호,"0,3,1,2,1,0,0,2,3,3,0,0,2,2,2,0","화 15.0, 15.5, 16.0
화 16.5, 17.0, 17.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5', '화 17.0', '화 17.5']"
CLTR0034-001,3.0,영어 I,교양,"수 1A,1B,2A
금 2B,3A,3B",인문대학,강수진,"0,2,3,3,3,2,1,1,1,0,2,0,3,0,0,3","수 9.0, 9.5, 10.0
금 10.5, 11.0, 11.5","['수 9.0', '수 9.5', '수 10.0', '금 10.5', '금 11.0', '금 11.5']"
CLTR0815-001,3.0,인문사회 기초통계,교양,"수 1A,1B,2A
금 2B,3A,3B",인문대학,윤규원,"3,2,2,3,1,0,0,0,3,0,0,1,3,2,1,2","수 9.0, 9.5, 10.0
금 10.5, 11.0, 11.5","['수 9.0', '수 9.5', '수 10.0', '금 10.5', '금 11.0', '금 11.5']"
